nome_munip,pop_munip,total_casos,taxa_casos_100mil,porte_populacional
ITAPAGIPE,15511,1,6.45,Pequeno porte
RIO PARDO DE MINAS,31171,2,6.42,Médio porte
MÁRIO CAMPOS,15814,1,6.32,Pequeno porte
NOVA PONTE,16046,1,6.23,Pequeno porte
ITAÚ DE MINAS,16286,1,6.14,Pequeno porte
SANTA MARGARIDA,16393,1,6.10,Pequeno porte
LAGOA SANTA,66744,4,5.99,Médio porte
BRASILÂNDIA DE MINAS,16950,1,5.90,Pequeno porte
OURO FINO,33938,2,5.89,Médio porte
PIRANGA,17641,1,5.67,Pequeno porte
CÁSSIA,17741,1,5.64,Pequeno porte
RIO POMBA,18007,1,5.55,Pequeno porte
LADAINHA,18272,1,5.47,Pequeno porte
MANHUAÇU,92074,5,5.43,Médio porte
MALACACHETA,18556,1,5.39,Pequeno porte
SANTO ANTÔNIO DO AMPARO,18697,1,5.35,Pequeno porte
SÃO FRANCISCO,56625,3,5.30,Médio porte
BORDA DA MATA,19809,1,5.05,Pequeno porte
SIMONÉSIA,19834,1,5.04,Pequeno porte
DIVINO,20020,1,5.00,Médio porte
IPANEMA,20133,1,4.97,Médio porte
ANDRADAS,41704,2,4.80,Médio porte
PARAISÓPOLIS,21353,1,4.68,Médio porte
MONTE ALEGRE DE MINAS,21349,1,4.68,Médio porte
IGARAPÉ,44561,2,4.49,Médio porte
CARMO DO CAJURU,22900,1,4.37,Médio porte
FRANCISCO SÁ,26459,1,3.78,Médio porte
SÃO JOÃO NEPOMUCENO,26530,1,3.77,Médio porte
SACRAMENTO,26556,1,3.77,Médio porte
MANTENA,27651,1,3.62,Médio porte
PITANGUI,28433,1,3.52,Médio porte
POUSO ALEGRE,154293,5,3.24,Grande porte
MARIANA,61830,2,3.23,Médio porte
TAIOBEIRAS,34653,1,2.89,Médio porte
ITAMARANDIBA,35130,1,2.85,Médio porte
RIBEIRÃO DAS NEVES,341415,9,2.64,Grande porte
MATOZINHOS,38469,1,2.60,Médio porte
DIVINÓPOLIS,242505,6,2.47,Grande porte
SALINAS,41864,1,2.39,Médio porte
PARACATU,94539,2,2.12,Médio porte
LAVRAS,105756,2,1.89,Grande porte
LAGOA DA PRATA,53236,1,1.88,Médio porte
CAMPO BELO,54338,1,1.84,Médio porte
CONGONHAS,55836,1,1.79,Médio porte
PONTE NOVA,60003,1,1.67,Médio porte
BETIM,450024,7,1.56,Grande porte
GOVERNADOR VALADARES,282164,4,1.42,Grande porte
TEÓFILO OTONI,141269,2,1.42,Grande porte
SÃO SEBASTIÃO DO PARAÍSO,71915,1,1.39,Médio porte
ESMERALDAS,72512,1,1.38,Médio porte
BELO HORIZONTE,2530701,35,1.38,Grande porte
CATAGUASES,75942,1,1.32,Médio porte
CURVELO,81085,1,1.23,Médio porte
MONTES CLAROS,417478,5,1.20,Grande porte
TIMÓTEO,91268,1,1.10,Médio porte
ITAÚNA,94455,1,1.06,Médio porte
NOVA SERRANA,108241,1,0.92,Grande porte
ARAXÁ,108403,1,0.92,Grande porte
ITABIRA,121717,1,0.82,Grande porte
IBIRITÉ,184030,1,0.54,Grande porte
SANTA LUZIA,221705,1,0.45,Grande porte
IPATINGA,267333,1,0.37,Grande porte
CONTAGEM,673849,1,0.15,Grande porte
SÃO PEDRO DO SUAÇUÍ,5160,0,0.00,Pequeno porte
ITABIRITO,52996,0,0.00,Médio porte
BURITIZEIRO,28184,0,0.00,Médio porte
SOLEDADE DE MINAS,6226,0,0.00,Pequeno porte
CRISTINA,10211,0,0.00,Pequeno porte
CRUCILÂNDIA,5072,0,0.00,Pequeno porte
DIVINO DAS LARANJEIRAS,4969,0,0.00,Pequeno porte
