-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
310600,Barão de Cocais,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,33.232,25.390,"2.158,59","2.158,59",0,"2.158,59",,,,5.665,0,5.582,0,525,0
310610,Barão de Monte Alto,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,5.311,3.749,"357,57","102,53","255,04","357,57",,,,1.857,0,1.916,1,541,7
310620,Barbacena,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,139.061,42.674,"2.572,08","1.286,04","1.286,04","2.572,08",38.651,"1.274,88","1.024,62",5.210,0,5.123,2,870,3
310640,Barra Longa,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,4.905,2.118,"191,25","191,25",0,"191,25",,,,3.472,0,3.472,0,117,0
310650,Barroso,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,20.981,17.453,"1.355,04","451,68","903,36","1.355,04",,,,6.017,34,5.982,0,556,0
310665,Bela Vista de Minas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,10.269,7.925,"709,97","709,97",0,"709,97",,,,4.595,0,4.553,0,205,0
310660,Belmiro Braga,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,3.422,883,"77,53","77,53",0,"77,53",,,,3.004,0,3.019,16,129,2
310670,Belo Horizonte,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,2.530.701,2.402.829,"242.405,80","161.603,87","80.801,93","242.405,80",2.378.396,"106.982,96","106.982,96",51.079,9,50.978,64,6.591,200
310680,Belo Oriente,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,27.277,19.623,"1.783,68","1.617,32","166,36","1.783,68",,,,13.543,3,13.456,455,635,0
310690,Belo Vale,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.723,3.363,"335,85","335,85",0,"335,85",,,,6.594,8,6.594,0,112,0
