nome_munip,vol_esgoto_coletado,vol_esgoto_tratado,volume_esgoto_in_natura,taxa_tratamento_pct,taxa_media_estado_pct
MORADA NOVA DE MINAS,234.58,234.58,0.00,100.00,63.99
FRUTAL,2334.80,2334.80,0.00,100.00,63.99
FRONTEIRA DOS VALES,81.27,81.27,0.00,100.00,63.99
FRANCISCO SÁ,457.15,457.15,0.00,100.00,63.99
MONTES CLAROS,11890.23,11890.23,0.00,100.00,63.99
MONTE FORMOSO,59.79,59.79,0.00,100.00,63.99
PAVÃO,120.37,120.37,0.00,100.00,63.99
ITAIPÉ,173.86,173.86,0.00,100.00,63.99
PEDRALVA,185.15,185.15,0.00,100.00,63.99
PEDRAS DE MARIA DA CRUZ,37.12,37.12,0.00,100.00,63.99
ESPINOSA,50.26,50.26,0.00,100.00,63.99
MONTE AZUL,42.79,42.79,0.00,100.00,63.99
ESMERALDAS,457.54,457.54,0.00,100.00,63.99
MONTALVÂNIA,38.31,38.31,0.00,100.00,63.99
PIMENTA,600.00,600.00,0.00,100.00,63.99
DORES DO INDAIÁ,474.52,474.52,0.00,100.00,63.99
DIVISÓPOLIS,79.19,79.19,0.00,100.00,63.99
DESTERRO DO MELO,54.15,54.15,0.00,100.00,63.99
PIRAPORA,1261.00,1261.00,0.00,100.00,63.99
PIUMHI,1766.59,1766.59,0.00,100.00,63.99
POÇOS DE CALDAS,10187.63,10187.63,0.00,100.00,63.99
MOEMA,435.52,435.52,0.00,100.00,63.99
CURVELO,2431.19,2431.19,0.00,100.00,63.99
MIRABELA,149.87,149.87,0.00,100.00,63.99
CRISTÁLIA,46.45,46.45,0.00,100.00,63.99
JOSENÓPOLIS,46.43,46.43,0.00,100.00,63.99
PRADOS,188.88,188.88,0.00,100.00,63.99
CRISÓLITA,44.15,44.15,0.00,100.00,63.99
COUTO DE MAGALHÃES DE MINAS,159.89,159.89,0.00,100.00,63.99
CÓRREGO FUNDO,191.25,191.25,0.00,100.00,63.99
MINAS NOVAS,172.78,172.78,0.00,100.00,63.99
PRUDENTE DE MORAIS,279.37,279.37,0.00,100.00,63.99
CORONEL MURTA,127.27,127.27,0.00,100.00,63.99
CORINTO,593.80,593.80,0.00,100.00,63.99
RAPOSOS,518.19,518.19,0.00,100.00,63.99
CORDISBURGO,125.63,125.63,0.00,100.00,63.99
ITAJUBÁ,3599.93,3599.93,0.00,100.00,63.99
RESENDE COSTA,160.99,160.99,0.00,100.00,63.99
RESPLENDOR,423.38,423.38,0.00,100.00,63.99
RIACHO DOS MACHADOS,92.61,92.61,0.00,100.00,63.99
MEDINA,362.39,362.39,0.00,100.00,63.99
CONTAGEM,22847.62,22847.62,0.00,100.00,63.99
MATEUS LEME,721.54,721.54,0.00,100.00,63.99
MATA VERDE,170.01,170.01,0.00,100.00,63.99
MARTINHO CAMPOS,311.20,311.20,0.00,100.00,63.99
RIO PARDO DE MINAS,127.63,127.63,0.00,100.00,63.99
CONFINS,107.13,107.13,0.00,100.00,63.99
RUBELITA,46.11,46.11,0.00,100.00,63.99
CONCEIÇÃO DA BARRA DE MINAS,59.77,59.77,0.00,100.00,63.99
CLÁUDIO,870.86,870.86,0.00,100.00,63.99
SACRAMENTO,1577.76,1577.76,0.00,100.00,63.99
ITAOBIM,302.75,302.75,0.00,100.00,63.99
CLARO DOS POÇÕES,66.87,66.87,0.00,100.00,63.99
SANTA CRUZ DE SALINAS,40.97,40.97,0.00,100.00,63.99
SANTA HELENA DE MINAS,94.67,94.67,0.00,100.00,63.99
ITAPECERICA,469.80,469.80,0.00,100.00,63.99
CENTRALINA,158.22,158.22,0.00,100.00,63.99
CAXAMBU,805.41,805.41,0.00,100.00,63.99
CATUTI,28.20,28.20,0.00,100.00,63.99
SANTA RITA DO SAPUCAÍ,1395.09,1395.09,0.00,100.00,63.99
ITINGA,187.08,187.08,0.00,100.00,63.99
ITUIUTABA,5238.32,5238.32,0.00,100.00,63.99
CARNEIRINHO,285.20,285.20,0.00,100.00,63.99
ITURAMA,1382.37,1382.37,0.00,100.00,63.99
CARMO DO RIO CLARO,638.25,638.25,0.00,100.00,63.99
SANTO ANTÔNIO DO MONTE,971.20,971.20,0.00,100.00,63.99
SANTO ANTÔNIO DO RETIRO,47.82,47.82,0.00,100.00,63.99
MANGA,85.28,85.28,0.00,100.00,63.99
JABOTICATUBAS,223.69,223.69,0.00,100.00,63.99
SÃO FRANCISCO,612.49,612.49,0.00,100.00,63.99
