codigo_ibge,nome_municipio,sigla_uf,perc_atendimento_agua,perc_atendimento_esgoto
310330,Aracitaba,MG,,79.72
310350,Araguari,MG,100.0,100.0
310360,Arantina,MG,,93.27
310370,Araponga,MG,,37.79
310375,Araporã,MG,100.0,100.0
310380,Arapuá,MG,75.11,75.11
310420,Arcos,MG,,100.0
310440,Argirita,MG,87.95,87.95
310450,Arinos,MG,,100.0
310460,Astolfo Dutra,MG,,90.54
310480,Augusto de Lima,MG,,6.83
310490,Baependi,MG,,79.4
310500,Baldim,MG,,100.0
310510,Bambuí,MG,,85.0
310530,Bandeira do Sul,MG,100.0,100.0
310540,Barão de Cocais,MG,,100.0
310560,Barbacena,MG,61.18,55.18
310590,Barroso,MG,,96.08
310600,Bela Vista de Minas,MG,,93.68
310610,Belmiro Braga,MG,,32.29
310630,Belo Oriente,MG,,85.11
310640,Belo Vale,MG,,99.91
310680,Bias Fortes,MG,93.11,93.11
310710,Boa Esperança,MG,84.43,83.58
310720,Bocaina de Minas,MG,78.62,77.63
310730,Bocaiúva,MG,91.61,81.43
310760,Bom Jesus da Penha,MG,,100.0
