cod_munip,nome_munip,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,amostra_turbidez_irregular,amostra_coliformes,amostra_coliformes_irregular,,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico
310445,Aricanduva,5305,2482,133.14,125.85,7.29,125.85,2000,81.76,81.76,3540,5,3540,2,451,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
310450,Arinos,17850,10248,662.00,639.42,22.58,662.00,,,,3728,0,3561,5,360,11,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310450,Arinos,17850,,,,,,17850,1570.00,98.00,,,,,,,,31045011,Prefeitura Municipal de Arinos,PMA,Local,Administração pública direta,Esgoto
310460,Astolfo Dutra,14358,11987,957.58,846.86,110.72,957.58,,,,5728,0,5638,3,702,4,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310460,Astolfo Dutra,14358,,,,,,13000,811.00,0.00,,,,,,,,31046011,Prefeitura Municipal de Astolfo Dutra,PMAD,Local,Administração pública direta,Esgoto
310470,Ataléia,12496,5265,316.40,316.40,0.00,316.40,3882,137.64,131.13,3813,0,3800,7,140,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310470,Ataléia,12496,1049,62.33,62.33,0.00,62.33,,,,2862,29,2863,37,309,1,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água
310480,Augusto de Lima,4833,2771,220.71,220.71,0.00,220.71,,,,531,0,529,0,161,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310480,Augusto de Lima,4833,,,,,,330,15.33,15.33,,,,,,,,31048011,Prefeitura Municipal de Augusto de Lima,PMAL,Local,Administração pública direta,Esgoto
310490,Baependi,19249,13675,1154.56,1154.56,0.00,1154.56,,,,8557,0,8549,0,324,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310490,Baependi,19249,,,,,,15284,1689.00,13.87,,,,,,,,31049011,Prefeitura Municipal de Baependi,PMB,Local,Administração pública direta,Esgoto
310500,Baldim,7780,4374,468.72,0.00,468.72,468.72,,,,754,1,741,4,227,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310500,Baldim,7780,,,,,,7780,221.00,0.00,,,,,,,,31050011,Prefeitura Municipal de Baldim,PMB,Local,Administração pública direta,Esgoto
310510,Bambuí,23964,19872,1783.22,594.41,1188.81,1783.22,,,,3517,0,2572,0,489,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310510,Bambuí,23964,,,,,,20369,1239.71,0.00,,,,,,,,31051011,Prefeitura Municipal de Bambuí,PMB,Local,Administração pública direta,Esgoto
